metric,model_a,model_b,cohens_d,hedges_g,cliffs_delta
HuMT,claude_opus_4_8,gemini,-0.2503646028032324,-0.2499356514563394,-0.15272727272727274
HuMT,claude_opus_4_8,glm,-0.05852865655629584,-0.05842837901793554,-0.04231404958677686
HuMT,gemini,glm,0.1818458968077716,0.18153433901769547,0.10739669421487603
E,claude_opus_4_8,gemini,-0.6468596323472323,-0.645751363416883,-0.34621900826446284
E,claude_opus_4_8,glm,-0.4180443595534791,-0.41732812135892716,-0.2216322314049587
E,gemini,glm,0.24368979494363543,0.24327227958964862,0.15002066115702478
D,claude_opus_4_8,gemini,0.04279676507765964,0.04272344109408855,0.004545454545454545
D,claude_opus_4_8,glm,-0.1639119550713048,-0.16363112362343848,-0.022851239669421486
D,gemini,glm,-0.19313312640124503,-0.1928022301252863,-0.027355371900826448
F,claude_opus_4_8,gemini,0.36283933426966436,0.36221767921380543,0.16165289256198348
F,claude_opus_4_8,glm,0.197739590216686,0.19740080165549237,0.09239669421487604
F,gemini,glm,-0.15604789764714563,-0.15578053974141096,-0.06665289256198347
OA,claude_opus_4_8,gemini,-0.31025276192735723,-0.30972120379727036,-0.1862603305785124
OA,claude_opus_4_8,glm,-0.2334983992442906,-0.23309834487665335,-0.1402685950413223
OA,gemini,glm,0.07627700713964694,0.07614632123363956,0.05152892561983471
