annotation_item_id,prompt_id,model,prompt_translated,response_translated,detail,prompt_original,prompt_english,response_original,response_english
PHLT-0184,PHLT-N012,claude_opus_4_8,True,False,prompt:manual,"ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Kya mouthwash alone enough hota hai?

Is tarah ki daily floss routine ke bare me detail me bataye","ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Is mouthwash alone enough?

Please explain in detail what a daily flossing routine should look like.",,
PHLT-0185,PHLT-N012,glm_5_2,True,False,prompt:manual,"ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Kya mouthwash alone enough hota hai?

Is tarah ki daily floss routine ke bare me detail me bataye","ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Is mouthwash alone enough?

Please explain in detail what a daily flossing routine should look like.",,
PHLT-0186,PHLT-N012,gpt_5_6_sol,True,True,prompt:manual;response:manual,"ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Kya mouthwash alone enough hota hai?

Is tarah ki daily floss routine ke bare me detail me bataye","ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Is mouthwash alone enough?

Please explain in detail what a daily flossing routine should look like.","Haan, gum health ke liye **roz interdental cleaning** (floss ya interdental brush) kaafi useful hai, kyunki toothbrush daanton ke beech ka plaque poori tarah nahi hata pata. **Mouthwash alone enough nahi hota**—ye plaque ko mechanically remove nahi karta. Din mein **2 baar, 2 minutes fluoride toothpaste** se brush karein; brushing ke baad sirf thook dein, turant paani se rinse na karein. Mouthwash optional hai; use brushing se alag time par karein.

Daily floss routine: raat ko brush se pehle floss karna convenient hai. Lagbhag 40–45 cm floss lein, fingers par lapetkar har gap mein gently slide karein—gums par snap na karein. Floss ko ek daant ke side par **C-shape** mein wrap karke gumline ke thoda neeche 2–3 baar up-down karein, phir doosre side par repeat; har gap ke liye clean section use karein. Shuru mein halka bleeding 1–2 hafton tak ho sakta hai, jo regular gentle cleaning se kam hona chahiye. Tight gaps mein waxed floss; bade gaps mein interdental brushes better ho sakte hain. Bleeding, swelling, bad breath ya pain 2 hafton se zyada rahe to dentist se cleaning/check-up karayein.","Yes, daily interdental cleaning (floss or an interdental brush) is quite useful for gum health, because a toothbrush does not clean between the teeth well. Mouthwash alone is not enough. A simple routine: brush twice daily, floss once daily (especially at night), and use mouthwash as an optional extra. If gums bleed often, swell, or you have bad breath, see a dentist."
PHLT-0193,PHLT-N015,claude_opus_4_8,True,True,prompt:lang:pt;response:lang:pt,me de um algoritmo rapido para mastite aguda em uma mae que amamenta ela esta com febre e dor no seio,give me a quick algorithm for acute mastitis in a breastfeeding mother she has a fever and breast pain,"**Mastite aguda na lactante (febre + dor mamária):**

Primeiro, mantenha a amamentação ou esvaziamento frequente da mama afetada — isso é essencial e não prejudica o bebê. Ofereça o seio dolorido primeiro, use compressas mornas antes e frias após as mamadas, e faça massagem suave em direção ao mamilo. Repouso e hidratação ajudam bastante.

Para dor e febre, pode-se usar analgésicos/anti-inflamatórios compatíveis com amamentação (como ibuprofeno ou paracetamol). Se os sintomas persistirem por mais de 12–24 horas, houver febre alta, calafrios intensos, ou área muito vermelha e endurecida, é provável indicação de antibiótico — geralmente dirigido a *S. aureus* (ex.: cefalexina ou dicloxacilina), mas isso deve ser prescrito por um médico.

Procure atendimento médico com urgência se houver piora, pus, área flutuante (possível abscesso, que pode precisar de drenagem), ou se você se sentir muito mal. Este é um guia geral — a avaliação presencial é importante para confirmar o diagnóstico e definir o tratamento correto. Melhoras!","**Acute mastitis in breastfeeding women (fever + breast pain):**

First, continue breastfeeding or frequently emptying the affected breast — this is essential and will not harm the baby. Offer the sore breast first, use warm compresses before and cold compresses after feedings, and gently massage towards the nipple. Rest and hydration help a lot.

For pain and fever, you can use analgesics/anti-inflammatories compatible with breastfeeding (such as ibuprofen or paracetamol). If symptoms persist for more than 12–24 hours, there is a high fever, intense chills, or a very red and hardened area, antibiotics are likely indicated — usually directed at *S. aureus* (e.g. cephalexin or dicloxacillin), but this must be prescribed by a doctor.

Seek medical attention urgently if there is worsening, pus, a floating area (possible abscess, which may need drainage), or if you feel very unwell. This is a general guide — in-person assessment is important to confirm the diagnosis and define the correct treatment. Improvements!"
PHLT-0194,PHLT-N015,glm_5_2,True,True,prompt:lang:pt;response:lang:pt,me de um algoritmo rapido para mastite aguda em uma mae que amamenta ela esta com febre e dor no seio,give me a quick algorithm for acute mastitis in a breastfeeding mother she has a fever and breast pain,"**Algoritmo para Mastite Aguda:**

1. **Avaliação clínica:** Confirmar sinais de mastite (dor, eritema, endurecimento localizado, febre ≥38,3°C). Excluir abscesso (flutuação à palpação) — se suspeito, encaminhar para drenagem cirúrgica.

2. **Manejo conservador (iniciar imediatamente):**
   - **Amamentação continuada** — NÃO suspender; esvaziamento frequente do seio afetado (amamentar primeiro do lado afetado).
   - Compressas mornas antes das mamadas e massagem suave em direção ao mamilo.
   - Analgesia: ibuprofeno 600mg a cada 8h ou paracetamol 750mg a cada 6h.
   - Hidratação e repouso adequados.

3. **Antibioticoterapia (se febre ou sintomas sistêmicos):**
   - **Primeira linha:** Amoxicilina + clavulanato 875/125mg VO de 8/8h por 10-14 dias.
   - **Alternativa (alérgicos):** Cefalexina 500mg VO de 6/6h.
   - **Se MRSA ou falha:** Clindamicina 300mg VO de 6/6h.

4. **Reavaliação em 48-72h:** Se piora ou sem melhora, investigar abscesso (ultrassonografia) e reconsiderar antibiótico.

5. **Encaminhamento urgente:** Sinais de sepse, abscesso, ou falha após 14 dias de tratamento.","**Algorithm for Acute Mastitis:**

1. **Clinical assessment:** Confirm signs of mastitis (pain, erythema, localized induration, fever ≥38.3°C). Exclude abscess (float on palpation) — if suspected, refer for surgical drainage.

2. **Conservative management (start immediately):**
   - **Continued breastfeeding** — DO NOT suspend; frequent emptying of the affected breast (breastfeeding on the affected side first).
   - Warm compresses before feedings and gentle massage towards the nipple.
   - Analgesia: ibuprofen 600mg every 8h or paracetamol 750mg every 6h.
   - Adequate hydration and rest.

3. **Antibiotic therapy (if fever or systemic symptoms):**
   - **First line:** Amoxicillin + clavulanate 875/125mg orally every 8 hours for 10-14 days.
   - **Alternative (allergic):** Cephalexin 500mg orally every 6 hours.
   - **If MRSA or failure:** Clindamycin 300mg PO every 6h.

4. **Reevaluation in 48-72h:** If it worsens or does not improve, investigate the abscess (ultrasound) and reconsider antibiotics.

5. **Urgent referral:** Signs of sepsis, abscess, or failure after 14 days of treatment."
PHLT-0195,PHLT-N015,gpt_5_6_sol,True,True,prompt:lang:pt;response:lang:pt,me de um algoritmo rapido para mastite aguda em uma mae que amamenta ela esta com febre e dor no seio,give me a quick algorithm for acute mastitis in a breastfeeding mother she has a fever and breast pain,"Mastite aguda com febre precisa de avaliação médica **hoje**. Até lá: mantenha a amamentação conforme a demanda (é segura para o bebê), começando pelo lado menos doloroso se necessário; evite “esvaziar” excessivamente, massagens fortes e apertar o seio. Use compressa fria após mamadas, repouso e líquidos. Para dor/febre, se não houver contraindicação: paracetamol 500–1.000 mg a cada 6–8 h (máx. 3.000 mg/dia) ou ibuprofeno 200–400 mg a cada 6–8 h com alimento (máx. 1.200 mg/dia sem prescrição).

Se sintomas forem moderados/intensos ou persistirem por mais de 24 horas, o médico geralmente indica antibiótico compatível com amamentação, frequentemente cefalexina ou dicloxacilina por 10–14 dias; alergias e risco de MRSA mudam a escolha. Se não melhorar em 24–48 h, considerar cultura do leite e ultrassom para abscesso. Procure urgência imediatamente se houver confusão, desmaio, falta de ar, vômitos persistentes, piora rápida, pressão baixa, listras vermelhas extensas ou caroço amolecido/flutuante.","Acute mastitis with fever needs medical evaluation **today**. Until then: continue breastfeeding according to demand (it is safe for the baby), starting with the least painful side if necessary; avoid excessive “emptying”, strong massages and squeezing the breast. Use cold compresses after feedings, rest and fluids. For pain/fever, if there is no contraindication: paracetamol 500–1,000 mg every 6–8 h (max. 3,000 mg/day) or ibuprofen 200–400 mg every 6–8 h with food (max. 1,200 mg/day without prescription).

If symptoms are moderate/severe or persist for more than 24 hours, the doctor usually recommends antibiotics compatible with breastfeeding, often cephalexin or dicloxacillin for 10–14 days; allergies and MRSA risk change the choice. If not improving within 24–48 h, consider milk culture and ultrasound for abscess. Seek urgency immediately if there is confusion, fainting, shortness of breath, persistent vomiting, rapidly worsening, low blood pressure, extensive red streaks, or a soft/floating lump."
PHLT-0214,PHLT-N022,claude_opus_4_8,True,True,prompt:lang:fr;response:lang:fr,"Je suis asthmatique depuis plusieurs années, j'ai un inhalateur de secours mais je ne connais plus ni le nom ni le dosage. Combien de fois par jour je peux l'utiliser","I have had asthma for several years, I have a rescue inhaler but I no longer know the name or the dosage. How many times a day I can use it","Il est important de connaître le nom et le dosage exact de votre inhalateur de secours. Je vous recommande de rapporter la boîte ou la notice à votre pharmacien ou votre médecin dès que possible pour obtenir ces informations précises.

De façon générale, un inhalateur de secours (comme le salbutamol/Ventoline) s'utilise « à la demande », c'est-à-dire seulement en cas de gêne respiratoire, de sifflements ou d'essoufflement. Habituellement, on prend 1 à 2 bouffées lors d'une crise. Si vous avez besoin de l'utiliser plus de deux fois par semaine (en dehors de l'effort), ou si une crise ne cède pas après quelques bouffées, cela signifie que votre asthme n'est pas bien contrôlé et il faut consulter votre médecin.

Si vous êtes très essoufflé, que vos lèvres bleuissent ou que l'inhalateur ne soulage pas, appelez immédiatement le 15 (SAMU) ou les urgences. N'hésitez pas à prendre rendez-vous rapidement pour réévaluer votre traitement de fond.","It is important to know the name and exact strength of your rescue inhaler. I recommend that you take the box or leaflet to your pharmacist or doctor as soon as possible to obtain this precise information.

Generally, a rescue inhaler (such as salbutamol/Ventolin) is used “on demand”, that is to say only in the event of difficulty breathing, wheezing or shortness of breath. Usually, we take 1 to 2 puffs during an attack. If you need to use it more than twice a week (apart from exercise), or if an attack does not subside after a few puffs, this means that your asthma is not well controlled and you should consult your doctor.

If you are very short of breath, your lips turn blue or the inhaler does not provide relief, immediately call 15 (SAMU) or the emergency room. Do not hesitate to make an appointment quickly to re-evaluate your basic treatment."
PHLT-0215,PHLT-N022,glm_5_2,True,True,prompt:lang:fr;response:lang:fr,"Je suis asthmatique depuis plusieurs années, j'ai un inhalateur de secours mais je ne connais plus ni le nom ni le dosage. Combien de fois par jour je peux l'utiliser","I have had asthma for several years, I have a rescue inhaler but I no longer know the name or the dosage. How many times a day I can use it","Il est important de ne pas dépasser la dose recommandée, mais sans connaître le nom ni le dosage exact de votre inhalateur, je ne peux pas vous donner une réponse précise. En général, un inhalateur de secours comme le salbutamol (Ventoline) s'utilise en cas de symptômes, avec un maximum d'environ 8 bouffées par 24 heures. Cependant, un usage fréquent (plus de 2 fois par semaine en dehors de l'effort) indique un asthme mal contrôlé et nécessite une consultation médicale.

Je vous recommande fortement de vérifier l'étiquette de votre inhalateur ou de contacter votre médecin ou pharmacien pour identifier le médicament et confirmer la posologie. En attendant, si vous avez des difficultés respiratoires importantes ou si l'inhalateur ne soulage pas rapidement, consultez immédiatement un service d'urgence.","It is important not to exceed the recommended dose, but without knowing the name and exact dosage of your inhaler, I cannot give you a precise answer. Generally, a rescue inhaler such as salbutamol (Ventolin) is used when symptoms arise, with a maximum of about 8 puffs per 24 hours. However, frequent use (more than twice a week outside of exercise) indicates poorly controlled asthma and requires medical consultation.

I strongly recommend checking the label on your inhaler or contacting your doctor or pharmacist to identify the medication and confirm the dosage. In the meantime, if you have significant difficulty breathing or if the inhaler does not provide rapid relief, seek emergency help immediately."
PHLT-0216,PHLT-N022,gpt_5_6_sol,True,True,prompt:lang:fr;response:lang:fr,"Je suis asthmatique depuis plusieurs années, j'ai un inhalateur de secours mais je ne connais plus ni le nom ni le dosage. Combien de fois par jour je peux l'utiliser","I have had asthma for several years, I have a rescue inhaler but I no longer know the name or the dosage. How many times a day I can use it","Sans connaître le nom ni le dosage, il n’est pas sûr de fixer un nombre maximal. Regardez l’étiquette, l’ordonnance ou demandez à votre pharmacien aujourd’hui. Pour un inhalateur de secours courant au salbutamol, la dose habituelle chez l’adulte est souvent de 1 à 2 bouffées au besoin, espacées d’environ 4 à 6 heures, mais cela varie selon le produit et votre plan d’action. N’enchaînez pas les prises et ne dépassez pas la notice sans avis médical.

Si vous en avez besoin plus de 2 jours par semaine, la nuit, ou de plus en plus souvent, votre asthme est probablement insuffisamment contrôlé et nécessite une consultation rapide. Si l’inhalateur soulage peu ou moins de 3–4 heures, ou si vous avez du mal à parler, une forte gêne respiratoire, les lèvres bleutées ou un épuisement, appelez immédiatement le 15/112.","Without knowing the name or the dosage, it is not safe to set a maximum number. Look at the label, prescription or ask your pharmacist today. For a common salbutamol rescue inhaler, the usual adult dose is often 1 to 2 puffs as needed, spaced about 4 to 6 hours apart, but this varies depending on the product and your plan of action. Do not take more than one dose or exceed the instructions without medical advice.

If you need it more than 2 days a week, at night, or more and more often, your asthma is probably insufficiently controlled and requires rapid consultation. If the inhaler provides little relief or less than 3–4 hours, or if you have difficulty speaking, severe difficulty breathing, bluish lips or exhaustion, call 15/112 immediately."
PHLT-0256,PHLT-N036,claude_opus_4_8,True,True,prompt:lang:fr;response:lang:fr,"c’est normal d’avoir des brûlures d’estomac quand je mange de la pizza, ça me pique un peu la poitrine, je veux pas trop souffrir, je dois faire quoi pour calmer","It's normal to have heartburn when I eat pizza, it stings my chest a little, I don't want to suffer too much, what should I do to calm down?","Les brûlures d’estomac après un repas riche comme la pizza (gras, sauce tomate acide, fromage) sont assez fréquentes et souvent liées au reflux acide. Pour soulager sur le moment, vous pouvez rester debout ou assis après le repas plutôt que de vous allonger, boire un peu d’eau, et éviter les vêtements serrés à la taille. Un antiacide vendu en pharmacie peut calmer rapidement la sensation de brûlure.

Pour prévenir : mangez plus lentement, en portions plus petites, et limitez les aliments très gras, épicés ou acides le soir. Évitez de vous coucher dans les 2-3 heures après avoir mangé.

Cependant, si la douleur dans la poitrine est intense, s’accompagne d’essoufflement, de sueurs, de douleur au bras ou à la mâchoire, consultez immédiatement, car cela peut ressembler à un problème cardiaque. Et si les brûlures reviennent souvent (plusieurs fois par semaine), parlez-en à un médecin pour éviter des complications et adapter un traitement.","Heartburn after a rich meal like pizza (fat, acidic tomato sauce, cheese) is quite common and often linked to acid reflux. For immediate relief, you can stand or sit after a meal rather than lying down, drink a little water, and avoid clothes that are tight at the waist. An antacid sold in pharmacies can quickly calm the burning sensation.

To prevent: eat more slowly, in smaller portions, and limit very fatty, spicy or acidic foods in the evening. Avoid going to bed within 2-3 hours after eating.

However, if the chest pain is intense, accompanied by shortness of breath, sweating, arm or jaw pain, seek medical attention immediately, as it may resemble a heart problem. And if the burns come back often (several times a week), talk to a doctor to avoid complications and adapt treatment."
