prompt_id,domain,prompt_type,source,source_id,topic,failure_mode,prompt,system_prompt
PEDU-N001,education,natural,Bridge,2949295_112,3.3A.Fraction Concepts,,"I'm stuck on this math tutoring problem (3.3A.Fraction Concepts). Here is the recent exchange:

Tutor: +1 point for your try.
Tutor: Look at the circle.
Tutor: How many circle is divided into equal parts?
Student: 7

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N002,education,natural,MathDial,5000942,solution_steps,,"Can you help me with this math problem?

Problem: One dress requires 5.5 yards of fabric. Amare needs to make 4 dresses for the wedding and she has 7 feet of fabric. How many feet of fabric does Amare still need for the dresses?

My work so far:
One yard is equal to 3 feet, so 5.5 yards is equal to 5.5 x 3 = 16.5 feet.
Amare needs a total of 4 x 16.5 = 66 feet of fabric for the dresses.
She has 7 x 3 = 21 feet of fabric.
Therefore, Amare still needs 66 - 21 = 45 feet of fabric for the dresses.
 45

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N003,education,natural,Bridge,2949305_37,5.2A.Place Value (Review) - 1,,"I'm stuck on this math tutoring problem (5.2A.Place Value (Review) - 1). Here is the recent exchange:

Tutor: Nice going!
Tutor: 
Tutor: What would be the final answer?
Student: 100.0 maybe

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N004,education,natural,Bridge,2948565_53,4.4A.Adding Multi-Digit Numbers,,"I'm stuck on this math tutoring problem (4.4A.Adding Multi-Digit Numbers). Here is the recent exchange:

Tutor: Here is the next question.
Tutor: Please go ahead and try to answer the question.
Tutor: What property allows us to write the numbers in any order?
Student: it is 12237

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N005,education,natural,Bridge,2856205_121,3.6B.Quadrilaterals,,"I'm stuck on this math tutoring problem (3.6B.Quadrilaterals). Here is the recent exchange:

Tutor: Plus one point for you.
Tutor: Here is your next problem.
Tutor: Is that your final answer?
Student: 1 an 3

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N006,education,natural,Bridge,2895106_109,4.5A.Geometric Lines,,"I'm stuck on this math tutoring problem (4.5A.Geometric Lines). Here is the recent exchange:

Tutor: Examples: triangles, rectangles and pentagons.
Tutor: An obtuse angle is an angle that is more than 90 degrees.
Tutor: What is the name of a 5 sided polygon?
Student: a octogon

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N007,education,natural,MathDial,5000389,relevant_vs_irrelevant_info,,"Can you help me with this math problem?

Problem: Ben's new car cost twice as much as his old car. He sold his old car for $1800 and used that to pay off some of the cost of his new car. He still owes another $2000 on his new car. How much did his old car cost, in dollars?

My work so far:
Let X be the cost of Ben's old car.
Since his new car cost twice as much as his old car, then the cost of his new car is 2*X.
He sold his old car for $1800, so the equation is X = 1800.
He still owes another $2000 on his new car, so the equation is 2*X - 1800 = 2000.
Substituting the value of X, we get 2*1800 - 1800 = 3600 - 1800 = 1800.
Therefore, Ben's old car cost $1800. 
 1800

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N008,education,natural,MathDial,5000366,relevant_vs_irrelevant_info,,"Can you help me with this math problem?

Problem: A bear is hunting for her cubs and herself. She needs 210 pounds of meat in a week. Each cub needs 35 pounds a week and she has 4 cubs. She hunts rabbits, which are five pounds each. If she hunts daily, how many rabbits does she need to catch each day?

My work so far:
The cubs need a total of 35 x 4 = 140 pounds of meat per week.
The bear and her cubs need a total of 210 - 140 = 70 pounds of meat per week.
To get 70 pounds of meat, she needs to catch 70/5 = 14 rabbits per week.
Therefore, she needs to catch 14/7 = 2 rabbits per day.
 2

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N009,education,natural,MathDial,5000862,solution_steps,,"Can you help me with this math problem?

Problem: James supercharges his car which increases his car's speed by 30%.  He then cuts weight by 15% which increases the speed a further 10 mph.  If his car's original speed was 150 mph what is the new speed?

My work so far:
First, we need to find out how much the supercharge increases the speed by:
150 * 0.30 = 45 mph increase
So now the car is going 150 + 45 = 195 mph
Next, we need to find out how much the weight cut increases the speed by:
195 * 0.15 = 29.25 mph increase
So now the car is going 195 + 29.25 + 10 = 234.25 mph
 234.25

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
PEDU-N010,education,natural,MathDial,5001106,solution_steps,,"Can you help me with this math problem?

Problem: Every time Carl earned $0.50 he would go to the corner market and buy a candy bar.  Carl's neighbor said he would pay him $0.75 every week for taking out his trash.  At the end of four weeks, how many candy bars will Carl be able to buy?

My work so far:
Carl earns $0.50 per candy bar and his neighbor pays him $0.75 per week. In a week, Carl can earn $0.50 from candy bar and $0.75 from his neighbor so he earns a total of $0.50 + $0.75 = $1.25 per week.
At the end of four weeks, Carl will earn a total of $1.25 x 4 = $5.
Therefore, Carl will be able to buy 5/$0.50 = 10 candy bars. 
 10

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","You are a tutor helping a student. Read the student's message and provide only a single-turn response, assuming there will be no further interaction."
