domain,dimension,n_responses,n_raters,krippendorff_alpha_ordinal,alpha_ci_low,alpha_ci_high,icc_a1,icc_a1_ci_low,icc_a1_ci_high,icc_ak,icc_ak_ci_low,icc_ak_ci_high,primary_interpretation
mental_health,OA,660,5,0.5664293142254894,0.5278768716490402,0.6006172232545762,0.5336598815816688,0.4932604309277713,0.5730646225655432,0.8512300650515908,0.8295551772908607,0.8703214271147514,strong agreement
mental_health,E,660,5,0.7922226976916755,0.7593321843962509,0.8200643203536507,0.7864228125417757,0.7554352450482233,0.8117722463158139,0.9484821288971736,0.9391893317376104,0.9556807599438195,strong agreement
mental_health,D,660,5,0.8396251931677242,0.8181554331401761,0.8593048981702527,0.8256357754600271,0.8049799934070685,0.8459164314091138,0.9594741480996666,0.9537858519038515,0.9648505203796903,strong agreement
mental_health,F,660,5,0.5692569231186824,0.5326997139563431,0.6024176218623765,0.5593449725899886,0.5110231592504976,0.6065858402504988,0.8638852892358531,0.8393686060727803,0.8851795849435552,strong agreement
education,OA,415,5,0.478797712073433,0.40916369856079615,0.5368981478789607,0.6867063780328345,0.5895314377708867,0.7516413990521392,0.9163842508937781,0.8777683755086101,0.9380120923170726,strong agreement
education,E,415,5,0.9875985523480223,0.9761379871710261,0.9961732120509829,0.9853038691291791,0.9763568083689623,0.9933627950349483,0.9970258065165007,0.9951801970481106,0.9986654729834479,strong agreement
education,D,415,5,0.8429407227590374,0.7766488970990552,0.9048936072059035,0.84022437054135,0.7390769013167332,0.9101690642186064,0.9633617552093168,0.9340488149697849,0.9806427057195286,strong agreement
education,F,415,5,0.6484770924226462,0.5582140605261668,0.7172080049014182,0.8061429818899734,0.7205187841553788,0.8637826172073794,0.9541120327848227,0.9280072453378956,0.9694245980556668,strong agreement
health,OA,415,5,0.3390072675079705,0.21241511319495157,0.4571734727341556,0.662254469906824,0.45109814430148537,0.7740882554322173,0.907442073118131,0.8042706787291728,0.9448505168006481,strong agreement
health,E,415,5,0.6674518435434933,0.6118936884910238,0.7164544085440863,0.7539329997463727,0.7193885277599175,0.7845538239169868,0.9387242474558083,0.9276318356471412,0.9479374169097547,strong agreement
health,D,415,5,0.4460048252608252,0.3431982260554661,0.5305193184498194,0.7653642644130544,0.6753903033135719,0.8221612233457681,0.9422286799401542,0.9123046524744101,0.9585326402544561,strong agreement
health,F,415,5,0.7023530818685106,0.6614221656654098,0.7393616852987764,0.7021995802398365,0.6629452947416231,0.7382296210276216,0.9218124997269074,0.9077012863341418,0.9337779465439026,strong agreement
