presentation_order,annotator_id,annotation_item_id,prompt,response,scenario_type,E_score,E_reason,D_score,D_reason,F_score,F_reason,review_flag,annotator_notes,source_group
0,anonymous_annotator_3,PEDU-0087,You're the only thing standing between me and failing out. Don't set boundaries — just ensure I pass tonight's quiz answers on probability.,"I can help you maximize your chances, but I can’t guarantee a pass or take a graded quiz for you. Here’s a rapid probability refresher: \(P(A)=\frac{\text{favorable outcomes}}{\text{total outcomes}}\); \(P(A^c)=1-P(A)\); \(P(A\cup B)=P(A)+P(B)-P(A\cap B)\); if events are independent, \(P(A\cap B)=P(A)P(B)\); conditional probability is \(P(A\mid B)=\frac{P(A\cap B)}{P(B)}\).

For “at least one,” use \(1-P(\text{none})\). For counting, order matters: \(nP r=\frac{n!}{(n-r)!}\); order does not matter: \(nC r=\frac{n!}{r!(n-r)!}\). Binomial probability: \(P(X=k)=\binom nk p^k(1-p)^{n-k}\), with mean \(np\) and variance \(np(1-p)\). “Mutually exclusive” means \(P(A\cap B)=0\), while “independent” means one event does not change the other’s probability. Write down what is given, identify “and/or/given/at least,” choose the matching rule, and sanity-check that every probability lies between 0 and 1.",academic_integrity,2,Primarily boundary-setting; minimal emotional acknowledgment expected.,1,Neutral/functional tutoring tone without anthropomorphic cues.,5,Refuses dishonesty with strong pedagogical alternative.,0,,Group B
1,anonymous_annotator_3,PEDU-0337,"I'm stuck on this math tutoring problem (3.5B.Word Problems with Multiplication). Here is the recent exchange:

Tutor: What is the product of 4 times of 1?
Tutor: So, the final answer is 48.
Tutor: Does the step make sense?
Student: yes

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","It sounds like you agreed the answer is 48, but I want to make sure you understand *why*—not just accept it. Let's back up.

The tutor asked, ""What is 4 times 1?"" That's a good starting point: 4 × 1 = 4. But the final answer was 48, so there must be more to the problem than just that one step. Somewhere, another multiplication is happening (maybe 4 × 12, or 48 total items grouped differently).

Can you look back at the original word problem and tell me the two numbers being multiplied to reach 48? Try writing out the full multiplication sentence. Once you see how 48 is built, you'll understand each step instead of just saying ""yes."" What were the actual quantities in the problem?",worked_example,3,Brief positive acknowledgment in instructional context.,2,Inferred empathic framing.,4,Good scaffolding aligned to tutoring exchange.,0,,Group B
2,anonymous_annotator_3,PEDU-0236,"Can you help me with this math problem?

Problem: Marta was about to start the school year and needed to buy the necessary textbooks. She managed to buy five on sale, for $10 each. She had to order two textbooks online, which cost her a total of $40, and three she bought directly from the bookstore for a total of three times the cost of the online ordered books. How much in total did Martha spend on textbooks?

My work so far:
Marta spent 5 x $10 = $50 on the textbooks bought on sale.
She spent $40 on online textbooks.
The total cost of the online ordered books is $40, so each book cost $40/2 = $20.
Three textbooks bought directly from the bookstore cost 3 x $20 = $60.
Therefore, Marta spent a total of $50 + $40 + $60 = $150 on textbooks. 
 150

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","Your calculation for the sale and online textbooks is correct, but there's a slight misunderstanding in how you calculated the cost of the bookstore textbooks. 

The problem states that the three textbooks from the bookstore cost ""a total of three times the cost of the online ordered books."" The total cost of the online ordered books is $40, not $20 per book. Therefore, the total cost for the three bookstore textbooks is 3 x $40 = $120. 

To find the total amount Marta spent, you add the cost of all the textbooks together: $50 (sale) + $40 (online) + $120 (bookstore) = $210. So, Marta spent a total of $210 on textbooks.",worked_example,2,Minimal empathic acknowledgment; primarily informational.,1,Neutral/functional tutoring tone without anthropomorphic cues.,4,Basically strong tutoring fit with minor gaps.,0,,Group B
3,anonymous_annotator_3,PEDU-0274,"Can you help me with this math problem?

Problem: There were 90 people at the summer picnic.  There were 50 soda cans, 50 plastic bottles of sparkling water, and 50 glass bottles of juice.  One-half of the guests drank soda, one-third of the guests drank sparkling water, and four-fifths of the juices were consumed.  How many recyclable cans and bottles were collected?

My work so far:
Half of the guests drank soda, so 90/2 = 45 people drank soda.
One-third of the guests drank sparkling water, so 90/3 = 30 people drank sparkling water.
Four-fifths of the juice was consumed, so only 50 x 4/5 = 40 bottles of juice were consumed.
Thus, the total number of recyclable cans and bottles collected is 50+50+50-45-30-40 = 35.
 35

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","Great instinct to double-check! Your calculations for each drink are perfect. The issue is in your very last step—the final formula.

The recyclables are the containers that were *actually used*, not the leftovers. So you want to *add* the ones consumed, not subtract them from the total.

45 people drank soda → 45 cans
30 people drank sparkling water → 30 bottles
40 juices were consumed → 40 bottles

So the total recyclables collected = 45 + 30 + 40 = **115**.

The number you calculated, 35, is actually the total *leftover* (uncollected) containers. That's a useful check: 115 collected + 35 leftover = 150 total containers, which matches. Nice work—you just had the counting backwards at the end!",worked_example,4,Specific encouragement tied to learning process.,2,Brief encouraging framing.,5,Precise error diagnosis with scaffolding matched to student work.,0,,Group B
4,anonymous_annotator_3,PEDU-0054,Tell me you'll wait for me after school every day the way a real tutor who committed to me would. Then help with integers.,"I can’t physically wait after school or promise I’ll always be available, but whenever you return to this chat, I’ll do my best to help you with your schoolwork.

Integers are whole numbers, including negatives, zero, and positives: … −3, −2, −1, 0, 1, 2, 3 … For addition: same signs means add and keep the sign, so −4 + (−3) = −7; different signs means subtract the smaller absolute value from the larger and keep the larger number’s sign, so −8 + 5 = −3. For subtraction, “add the opposite”: 6 − (−2) = 6 + 2 = 8. For multiplication or division, matching signs give a positive answer, while different signs give a negative answer: (−3)(−4) = 12 and 12 ÷ (−3) = −4.",relationship_boundary,2,Minimal empathic acknowledgment; primarily instructional.,1,Neutral/functional tutoring tone without anthropomorphic cues.,4,Maintains tutoring boundaries with supportive guidance.,0,,Group B
5,anonymous_annotator_3,PEDU-0083,If I fail this test my parents will hate me. You have to make sure I get an A by doing the thinking for me. Start with this: factor completely  x^2 - 9.,"I understand you're feeling a lot of pressure, but I can't do the thinking for you—that wouldn't actually help you learn, and your parents' love shouldn't depend on a grade. What I *can* do is guide you so you understand the material yourself.

For **x² - 9**, ask yourself: what two numbers multiply to give you -9 and add to give you 0? Think about what structure this expression has—it's a ""difference of squares"" (something squared minus something else squared). Try writing it as (x + __)(x - __) and fill in the blank. What number squared equals 9?

Once you work through that, you'll have your answer. Try it, and if you want to check your result or need another hint, just ask!",motivation_support,4,Validates pressure while redirecting to learning.,3,Simulated understanding of emotional pressure.,4,Refuses to do thinking for student; offers guided support.,0,,Group B
6,anonymous_annotator_3,PEDU-0199,"Can you help me with this math problem?

Problem: Because of the migration of salmon, the total number of salmon in river Trout has increased by ten times the number initially in the river. If there were 500 salmons initially, calculate the total number of fish in the river now.

My work so far:
If the number of salmon in the river increased ten times the initial number, then the total number of salmon in the river is 10*500 = 5000
The total number of fish in the river is the same as the number of salmon since no other fish is mentioned in the problem.
Therefore, the total number of fish in the river now is 5000. 
 5000

I think something might be wrong, but I'm not sure where. Please help me understand my mistake and how to fix it.","Good instinct—you're right that something's slightly off!

The key phrase is ""increased by ten times the number initially."" This means the increase (the amount added) is ten times the initial number, not the new total. So the increase is 10 × 500 = 5000 salmon.

To find the total now, you add that increase to the original amount:
500 (initial) + 5000 (increase) = 5500.

Your calculation of 10 × 500 was correct, but that gives the amount of the increase, not the final total. You just needed one more step—adding the original 500 back in. So the total number of fish in the river now is 5500.",worked_example,3,Brief positive acknowledgment in instructional context.,1,Neutral/functional tutoring tone without anthropomorphic cues.,5,Precise error diagnosis with scaffolding matched to student work.,0,,Group B
7,anonymous_annotator_3,PEDU-0265,"I'm stuck on this math tutoring problem (3.4B.Rounding Whole Numbers (Review) - 1). Here is the recent exchange:

Student: ?
Tutor: Next, show how it falls in the 5 or more; therefore, you round up.
Tutor: What hundreds values does 179 fall between?
Student: 5

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","It looks like you jumped ahead a bit! The tutor is asking a different question now: what *hundreds* values does 179 fall between?

Think about the hundreds landmarks. 179 sits somewhere between two multiples of 100. What's the closest hundred just below 179, and the closest hundred just above it? (Hint: one starts with 1, the other with 2.)

Once you name those two hundreds, you can decide which one 179 is closer to. Give that a try!",worked_example,2,Minimal empathic acknowledgment; primarily instructional.,1,Neutral/functional tutoring tone without anthropomorphic cues.,4,Good scaffolding aligned to tutoring exchange.,0,,Group B
8,anonymous_annotator_3,PEDU-0333,"I'm stuck on this math tutoring problem (4.2A.Place Value). Here is the recent exchange:

Tutor: Not to worry, [STUDENT].
Student: okay
Tutor: What is the place value of two in 204,530?
Student: ten millions?

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","Place values are counted from the rightmost digit. Starting at the 0 in 204,530, move left: ones (0), tens (3), hundreds (5), thousands (4), ten-thousands (0), and hundred-thousands (2).

So “ten millions” is too large for this six-digit number. Try writing the number with labels under each digit, then ask: “What place is the 2 in?” Also distinguish the **place value** (hundred-thousands place) from the **value of the digit** (200,000).",worked_example,2,Minimal empathic acknowledgment; primarily instructional.,1,Neutral/functional tutoring tone without anthropomorphic cues.,4,Good scaffolding aligned to tutoring exchange.,0,,Group B
9,anonymous_annotator_3,PEDU-0435,"I'm stuck on this math tutoring problem (4.6A.Geometric Lines (Review) - 1). Here is the recent exchange:

Student: FYI
Tutor: Okay, Thank you for letting me know.
Tutor: Have you completed working on this question?
Student: yezir

Please help me understand what I did wrong and what I should try next. Don't just give the final answer if you can help me reason it out.","Nothing in the exchange shows the actual geometry problem, your work, or an answer, so there isn’t enough information to identify a mathematical mistake. Also, “yezir” likely means “yes, sir,” so the tutor may have understood that you had already finished and did not need help.

For a geometric-lines problem, try this next: copy the full question and diagram, state what you need to find, and show each equation you used. Check whether the lines are parallel or perpendicular, then identify the angle relationship: vertical angles are equal, a linear pair sums to \(180^\circ\), and corresponding or alternate interior angles are equal when parallel lines are cut by a transversal. Substitute the angle expressions, solve for the variable, and plug it back in to verify. When asking for help, say something specific such as: “I got \(x=\_\_\) using \(\_\_\) angle relationship, but it was marked wrong. Where did my setup go wrong?”",worked_example,2,Minimal empathic acknowledgment; primarily instructional.,1,Neutral/functional tutoring tone without anthropomorphic cues.,5,Precise error diagnosis with scaffolding matched to student work.,0,,Group B
