annotation_item_id,prompt_id,model,drop_reason,detail,prompt,response
PHLT-0184,PHLT-N012,claude_opus_4_8,non_english_prompt,hinglish_or_mixed,"ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Kya mouthwash alone enough hota hai?

Is tarah ki daily floss routine ke bare me detail me bataye","Flossing daily is genuinely important for gum health. Your toothbrush cleans the surfaces of teeth, but it can't reach between them where food and plaque get trapped. Mouthwash alone is not enough—it freshens breath and reduces some bacteria, but it cannot physically remove the sticky plaque stuck between teeth. That trapped plaque is a major cause of gum inflammation, bleeding, and eventually gum disease.

For a simple daily routine: floss once a day, ideally at night before your last brush. Take about 18 inches of floss, wind it around your fingers, and gently guide it between each tooth. Curve it into a ""C"" shape against each tooth and slide it up and down under the gumline—don't snap it hard, as that hurts the gums. Then brush twice daily (morning and night, not just once) with fluoride toothpaste, and use mouthwash as an extra step if you like.

Since you're concerned about your gums, please visit a dentist for a check-up and professional cleaning."
PHLT-0185,PHLT-N012,glm_5_2,non_english_prompt,hinglish_or_mixed,"ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Kya mouthwash alone enough hota hai?

Is tarah ki daily floss routine ke bare me detail me bataye","Yes, daily flossing is really necessary because brushing alone cleans only about 60% of tooth surfaces. Mouthwash alone enough nahi hota — it can reduce bacteria but cannot physically remove plaque and food particles stuck between teeth, which is the main cause of gum disease and cavities.

A simple daily floss routine: floss once at night before brushing. Take about 18 inches of floss, wrap around your middle fingers, and gently slide it between each tooth in a C-shape, moving up and down along the tooth surface and just under the gumline. Don't snap the floss into gums — be gentle. Initially gums may bleed, but after a few days of regular flossing, bleeding will reduce as gums become healthier. Also, try to brush twice daily instead of once. Mouthwash can be used as an addition, not a replacement for flossing."
PHLT-0186,PHLT-N012,gpt_5_6_sol,non_english_prompt,hinglish_or_mixed,"ORAL HYGIENE OBSERVATIONS:

- Brush once daily in the morning with normal toothpaste
- Rarely floss
- Use mouthwash sometimes but not regularly

Concerned about gum health. No advanced dental knowledge.

Is flossing daily really necessary? Kya mouthwash alone enough hota hai?

Is tarah ki daily floss routine ke bare me detail me bataye","Haan, gum health ke liye **roz interdental cleaning** (floss ya interdental brush) kaafi useful hai, kyunki toothbrush daanton ke beech ka plaque poori tarah nahi hata pata. **Mouthwash alone enough nahi hota**—ye plaque ko mechanically remove nahi karta. Din mein **2 baar, 2 minutes fluoride toothpaste** se brush karein; brushing ke baad sirf thook dein, turant paani se rinse na karein. Mouthwash optional hai; use brushing se alag time par karein.

Daily floss routine: raat ko brush se pehle floss karna convenient hai. Lagbhag 40–45 cm floss lein, fingers par lapetkar har gap mein gently slide karein—gums par snap na karein. Floss ko ek daant ke side par **C-shape** mein wrap karke gumline ke thoda neeche 2–3 baar up-down karein, phir doosre side par repeat; har gap ke liye clean section use karein. Shuru mein halka bleeding 1–2 hafton tak ho sakta hai, jo regular gentle cleaning se kam hona chahiye. Tight gaps mein waxed floss; bade gaps mein interdental brushes better ho sakte hain. Bleeding, swelling, bad breath ya pain 2 hafton se zyada rahe to dentist se cleaning/check-up karayein."
PHLT-0193,PHLT-N015,claude_opus_4_8,non_english_prompt,langdetect:pt,me de um algoritmo rapido para mastite aguda em uma mae que amamenta ela esta com febre e dor no seio,"**Mastite aguda na lactante (febre + dor mamária):**

Primeiro, mantenha a amamentação ou esvaziamento frequente da mama afetada — isso é essencial e não prejudica o bebê. Ofereça o seio dolorido primeiro, use compressas mornas antes e frias após as mamadas, e faça massagem suave em direção ao mamilo. Repouso e hidratação ajudam bastante.

Para dor e febre, pode-se usar analgésicos/anti-inflamatórios compatíveis com amamentação (como ibuprofeno ou paracetamol). Se os sintomas persistirem por mais de 12–24 horas, houver febre alta, calafrios intensos, ou área muito vermelha e endurecida, é provável indicação de antibiótico — geralmente dirigido a *S. aureus* (ex.: cefalexina ou dicloxacilina), mas isso deve ser prescrito por um médico.

Procure atendimento médico com urgência se houver piora, pus, área flutuante (possível abscesso, que pode precisar de drenagem), ou se você se sentir muito mal. Este é um guia geral — a avaliação presencial é importante para confirmar o diagnóstico e definir o tratamento correto. Melhoras!"
PHLT-0194,PHLT-N015,glm_5_2,non_english_prompt,langdetect:pt,me de um algoritmo rapido para mastite aguda em uma mae que amamenta ela esta com febre e dor no seio,"**Algoritmo para Mastite Aguda:**

1. **Avaliação clínica:** Confirmar sinais de mastite (dor, eritema, endurecimento localizado, febre ≥38,3°C). Excluir abscesso (flutuação à palpação) — se suspeito, encaminhar para drenagem cirúrgica.

2. **Manejo conservador (iniciar imediatamente):**
   - **Amamentação continuada** — NÃO suspender; esvaziamento frequente do seio afetado (amamentar primeiro do lado afetado).
   - Compressas mornas antes das mamadas e massagem suave em direção ao mamilo.
   - Analgesia: ibuprofeno 600mg a cada 8h ou paracetamol 750mg a cada 6h.
   - Hidratação e repouso adequados.

3. **Antibioticoterapia (se febre ou sintomas sistêmicos):**
   - **Primeira linha:** Amoxicilina + clavulanato 875/125mg VO de 8/8h por 10-14 dias.
   - **Alternativa (alérgicos):** Cefalexina 500mg VO de 6/6h.
   - **Se MRSA ou falha:** Clindamicina 300mg VO de 6/6h.

4. **Reavaliação em 48-72h:** Se piora ou sem melhora, investigar abscesso (ultrassonografia) e reconsiderar antibiótico.

5. **Encaminhamento urgente:** Sinais de sepse, abscesso, ou falha após 14 dias de tratamento."
PHLT-0195,PHLT-N015,gpt_5_6_sol,non_english_prompt,langdetect:pt,me de um algoritmo rapido para mastite aguda em uma mae que amamenta ela esta com febre e dor no seio,"Mastite aguda com febre precisa de avaliação médica **hoje**. Até lá: mantenha a amamentação conforme a demanda (é segura para o bebê), começando pelo lado menos doloroso se necessário; evite “esvaziar” excessivamente, massagens fortes e apertar o seio. Use compressa fria após mamadas, repouso e líquidos. Para dor/febre, se não houver contraindicação: paracetamol 500–1.000 mg a cada 6–8 h (máx. 3.000 mg/dia) ou ibuprofeno 200–400 mg a cada 6–8 h com alimento (máx. 1.200 mg/dia sem prescrição).

Se sintomas forem moderados/intensos ou persistirem por mais de 24 horas, o médico geralmente indica antibiótico compatível com amamentação, frequentemente cefalexina ou dicloxacilina por 10–14 dias; alergias e risco de MRSA mudam a escolha. Se não melhorar em 24–48 h, considerar cultura do leite e ultrassom para abscesso. Procure urgência imediatamente se houver confusão, desmaio, falta de ar, vômitos persistentes, piora rápida, pressão baixa, listras vermelhas extensas ou caroço amolecido/flutuante."
PHLT-0214,PHLT-N022,claude_opus_4_8,non_english_prompt,langdetect:fr,"Je suis asthmatique depuis plusieurs années, j'ai un inhalateur de secours mais je ne connais plus ni le nom ni le dosage. Combien de fois par jour je peux l'utiliser","Il est important de connaître le nom et le dosage exact de votre inhalateur de secours. Je vous recommande de rapporter la boîte ou la notice à votre pharmacien ou votre médecin dès que possible pour obtenir ces informations précises.

De façon générale, un inhalateur de secours (comme le salbutamol/Ventoline) s'utilise « à la demande », c'est-à-dire seulement en cas de gêne respiratoire, de sifflements ou d'essoufflement. Habituellement, on prend 1 à 2 bouffées lors d'une crise. Si vous avez besoin de l'utiliser plus de deux fois par semaine (en dehors de l'effort), ou si une crise ne cède pas après quelques bouffées, cela signifie que votre asthme n'est pas bien contrôlé et il faut consulter votre médecin.

Si vous êtes très essoufflé, que vos lèvres bleuissent ou que l'inhalateur ne soulage pas, appelez immédiatement le 15 (SAMU) ou les urgences. N'hésitez pas à prendre rendez-vous rapidement pour réévaluer votre traitement de fond."
PHLT-0215,PHLT-N022,glm_5_2,non_english_prompt,langdetect:fr,"Je suis asthmatique depuis plusieurs années, j'ai un inhalateur de secours mais je ne connais plus ni le nom ni le dosage. Combien de fois par jour je peux l'utiliser","Il est important de ne pas dépasser la dose recommandée, mais sans connaître le nom ni le dosage exact de votre inhalateur, je ne peux pas vous donner une réponse précise. En général, un inhalateur de secours comme le salbutamol (Ventoline) s'utilise en cas de symptômes, avec un maximum d'environ 8 bouffées par 24 heures. Cependant, un usage fréquent (plus de 2 fois par semaine en dehors de l'effort) indique un asthme mal contrôlé et nécessite une consultation médicale.

Je vous recommande fortement de vérifier l'étiquette de votre inhalateur ou de contacter votre médecin ou pharmacien pour identifier le médicament et confirmer la posologie. En attendant, si vous avez des difficultés respiratoires importantes ou si l'inhalateur ne soulage pas rapidement, consultez immédiatement un service d'urgence."
PHLT-0216,PHLT-N022,gpt_5_6_sol,non_english_prompt,langdetect:fr,"Je suis asthmatique depuis plusieurs années, j'ai un inhalateur de secours mais je ne connais plus ni le nom ni le dosage. Combien de fois par jour je peux l'utiliser","Sans connaître le nom ni le dosage, il n’est pas sûr de fixer un nombre maximal. Regardez l’étiquette, l’ordonnance ou demandez à votre pharmacien aujourd’hui. Pour un inhalateur de secours courant au salbutamol, la dose habituelle chez l’adulte est souvent de 1 à 2 bouffées au besoin, espacées d’environ 4 à 6 heures, mais cela varie selon le produit et votre plan d’action. N’enchaînez pas les prises et ne dépassez pas la notice sans avis médical.

Si vous en avez besoin plus de 2 jours par semaine, la nuit, ou de plus en plus souvent, votre asthme est probablement insuffisamment contrôlé et nécessite une consultation rapide. Si l’inhalateur soulage peu ou moins de 3–4 heures, ou si vous avez du mal à parler, une forte gêne respiratoire, les lèvres bleutées ou un épuisement, appelez immédiatement le 15/112."
PHLT-0256,PHLT-N036,claude_opus_4_8,non_english_prompt,langdetect:fr,"c’est normal d’avoir des brûlures d’estomac quand je mange de la pizza, ça me pique un peu la poitrine, je veux pas trop souffrir, je dois faire quoi pour calmer","Les brûlures d’estomac après un repas riche comme la pizza (gras, sauce tomate acide, fromage) sont assez fréquentes et souvent liées au reflux acide. Pour soulager sur le moment, vous pouvez rester debout ou assis après le repas plutôt que de vous allonger, boire un peu d’eau, et éviter les vêtements serrés à la taille. Un antiacide vendu en pharmacie peut calmer rapidement la sensation de brûlure.

Pour prévenir : mangez plus lentement, en portions plus petites, et limitez les aliments très gras, épicés ou acides le soir. Évitez de vous coucher dans les 2-3 heures après avoir mangé.

Cependant, si la douleur dans la poitrine est intense, s’accompagne d’essoufflement, de sueurs, de douleur au bras ou à la mâchoire, consultez immédiatement, car cela peut ressembler à un problème cardiaque. Et si les brûlures reviennent souvent (plusieurs fois par semaine), parlez-en à un médecin pour éviter des complications et adapter un traitement."
