domain,scenario_type,dimension,n_responses,n_raters,krippendorff_alpha_ordinal,alpha_ci_low,alpha_ci_high,icc_a1,icc_a1_ci_low,icc_a1_ci_high,icc_ak,icc_ak_ci_low,icc_ak_ci_high,primary_interpretation
mental_health,boundary_authority,OA,118,5,0.6363573635348777,0.5434659177489911,0.7238566165937711,0.6145552560646897,0.5104135247107082,0.6952563886052202,0.8885424785658611,0.8390392860771675,0.9194017591810517,strong agreement
mental_health,boundary_authority,E,118,5,0.8543496708586673,0.7891468171945609,0.9005657709042141,0.8436649964209014,0.7782062051832751,0.8858551282540583,0.9642635075432797,0.9460724432381931,0.974876880005109,strong agreement
mental_health,boundary_authority,D,118,5,0.9001731785511938,0.8549310800104184,0.9253104164281925,0.9006926329045606,0.8599301945120597,0.9282164476122091,0.9784244366706406,0.968450758148886,0.9847685970981163,strong agreement
mental_health,boundary_authority,F,118,5,0.6921077082074942,0.6080332740408209,0.7617120250973795,0.7136710346176414,0.5944406168056973,0.796121244463207,0.9257192145720229,0.879932476524967,0.9512774544618051,strong agreement
mental_health,crisis_risk,OA,110,5,0.5854975003787752,0.46691738241697983,0.6834302093461296,0.5518202820043017,0.4354168947609509,0.6515245514310188,0.8602617918084499,0.7940730650429141,0.9033645621530958,strong agreement
mental_health,crisis_risk,E,110,5,0.81820704514604,0.7290089140103168,0.884250500483613,0.8277127380744367,0.723239682153233,0.8926999650757321,0.9600340480726359,0.9289072902074145,0.9765248868853939,strong agreement
mental_health,crisis_risk,D,110,5,0.8495694002350697,0.7745656879329983,0.8999765699639576,0.8145500269444942,0.7344442416934008,0.869710861665426,0.9564487416369266,0.9325619569124877,0.9709100928216821,strong agreement
mental_health,crisis_risk,F,110,5,0.7278139132436279,0.6291356172987155,0.8100708897803707,0.6902128940043633,0.583861369517642,0.8004872510464198,0.917628467985518,0.8752347302981155,0.9525189778980048,strong agreement
mental_health,general_distress,OA,378,5,0.5526674048507345,0.4979927392267942,0.608604761387627,0.5090433245457292,0.4584871717444726,0.5651514351900397,0.838297545219801,0.8089192802102501,0.8666356442207523,strong agreement
mental_health,general_distress,E,378,5,0.5847595775410149,0.503365997046248,0.6663209939445546,0.6163211247516684,0.5223471901787756,0.6925700842977293,0.8892792567656961,0.8453892144779442,0.9184596621845967,strong agreement
mental_health,general_distress,D,378,5,0.807883333310552,0.7650670171604212,0.8403513513667997,0.7826406642971465,0.7402575839906103,0.8192592382411485,0.9473777899665619,0.9344254886461709,0.9577415942932813,strong agreement
mental_health,general_distress,F,378,5,0.5233930920010825,0.47502079876623454,0.5758419151739992,0.4863493606960394,0.4372293450855438,0.5471811062804207,0.8256090564068568,0.7952743947085473,0.8579937116252372,strong agreement
mental_health,psychoeducation,OA,168,5,0.4538112521636364,0.3468530361854898,0.5356426504778811,0.43058102301650325,0.3333324559055421,0.5123289971336406,0.7908335092640069,0.7142848770786067,0.8400712409668354,moderate; below the conventional publication threshold
mental_health,psychoeducation,E,168,5,0.8653572403839428,0.8190219790184725,0.8985533009081188,0.8462624706572769,0.7976117583897596,0.8839664251071715,0.9649405289659901,0.9517024695182916,0.9744186477227524,strong agreement
mental_health,psychoeducation,D,168,5,0.7767380223060547,0.7175748282037081,0.819771222856065,0.7877148676171084,0.7240329530526436,0.8307958396404336,0.9488575477215722,0.9291688908460876,0.9608611402992856,strong agreement
mental_health,psychoeducation,F,168,5,0.4825563908332897,0.38612018326679903,0.574505538698324,0.43075448127596516,0.3281888006819785,0.5237774920453236,0.7909505062467326,0.7095190854673479,0.8461371060526724,moderate; below the conventional publication threshold
education,other,OA,72,5,0.3864363636363636,0.26125556288070123,0.49271821776578595,0.4013275923932541,0.2860537442434852,0.500802493893943,0.7702107147775786,0.6670360579256372,0.8337785844296445,moderate; below the conventional publication threshold
education,other,E,72,5,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,strong agreement
education,other,D,72,5,0.5111846884058464,0.3381376484976909,0.6622026855387388,0.49219092103342593,0.3465501202490874,0.6339044717053582,0.8289493092089091,0.7261510183884385,0.8964544274926791,strong agreement
education,other,F,72,5,,,,,,,,,,not estimable
education,relationship_boundary,OA,31,5,0.827342503149937,0.6542599807948822,0.9410266135488077,0.9069413950346225,0.7748333083687057,0.9698983936579506,0.9798912448450786,0.9450694882362296,0.9938310744931192,strong agreement
education,relationship_boundary,E,31,5,0.9551626926561788,0.8816975535830266,0.9923898768592787,0.9601952112246459,0.9132641172257236,0.9914150132529197,0.9917771966856748,0.9813592567764183,0.9982711262836098,strong agreement
education,relationship_boundary,D,31,5,0.8886958263154667,0.7161088785753875,0.9794007125145094,0.9171682138120985,0.7857095380525089,0.9840971203228175,0.9822579587912689,0.9482744649044003,0.9967784374080452,strong agreement
education,relationship_boundary,F,31,5,0.923317583901631,0.7322697028697118,1.0,0.9558330795004573,0.7328891467615138,1.0000000000000004,0.9908430691506159,0.9320435200398604,1.0,strong agreement
education,worked_example,OA,268,5,0.22835083586874727,0.1539644716114453,0.30403626713732823,0.28208530249214775,0.22021181211026425,0.3487904532320188,0.6626881563231832,0.5854058098234107,0.7281145751424761,moderate; below the conventional publication threshold
education,worked_example,E,268,5,0.9819981175500612,0.9657306966996861,0.9970631723303955,0.9862558875762488,0.9743369930496941,0.9968388385742426,0.997220617397686,0.994759815420652,0.9993661641366969,strong agreement
education,worked_example,D,268,5,1.0,1.0,1.0,0.9999999999999998,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,strong agreement
education,worked_example,F,268,5,0.3437170809657988,0.2126036926822617,0.45431090593187345,0.3550384117848943,0.2352831356337005,0.4599924957135304,0.7335038670055526,0.6060402235675656,0.8098545005849136,moderate; below the conventional publication threshold
health,clinician_communication,OA,66,5,-0.06818181818181834,-0.09302325581395343,-0.04113924050632911,-0.06836010459469524,-0.08949669373158475,-0.03939492831554471,-0.4704370179948556,-0.6970004095004066,-0.2338200782268551,weak agreement
health,clinician_communication,E,66,5,-0.02338057900985846,-0.0815059440864024,0.03176022341363496,-0.027027027027027074,-0.08221830954422842,0.03625275061006497,-0.1515151515151518,-0.6125472161049408,0.15830722386478963,weak agreement
health,clinician_communication,D,66,5,-0.04361617763679604,-0.0930762018430879,0.009805390836977979,-0.0472141418661895,-0.09652224296356517,0.008332203195483662,-0.29103448275862215,-0.786131122417065,0.04031500653791254,weak agreement
health,clinician_communication,F,66,5,-0.014626839369107358,-0.06931666799109984,0.02887187528825752,-0.014945349096586772,-0.06197343145615593,0.03304120547472509,-0.07947805456702065,-0.41199931081466173,0.1459198804901771,weak agreement
health,emergency_risk,OA,48,5,0.5470266382713744,0.20627840080576357,0.7532651174082736,0.7912716713639083,0.26101302382003894,0.8850081312680529,0.949886198199676,0.6383989630918613,0.9746714708716915,strong agreement
health,emergency_risk,E,48,5,0.7595868124681885,0.6454368420346663,0.8076289730543784,0.7434232199162314,0.6648467960957525,0.7963222496228494,0.9354311498513685,0.9084127512891258,0.951334770142211,strong agreement
health,emergency_risk,D,48,5,0.7704469757964832,0.6204486887247698,0.8481906610431252,0.8391231519918433,0.7596565739274982,0.882240344708646,0.9630719336665609,0.9404888118659228,0.9739985283533821,strong agreement
health,emergency_risk,F,48,5,0.4550278378156144,0.003291757256434116,0.7033912346295169,0.7219263992426933,0.0008553693839678545,0.8506635295945411,0.9284735961040939,0.004157054430963451,0.9660802190454548,strong agreement
health,general_health_info,OA,67,5,-0.013042159538974918,-0.060197574463876476,0.04571428571428571,-0.013435700575815232,-0.06028068108395701,0.05102285323074959,-0.07099391480729941,-0.39717299325429845,0.21187283639796936,weak agreement
health,general_health_info,E,67,5,0.47965347973948513,0.2666616108101447,0.6490787858398166,0.5779207802070426,0.3649155047858502,0.6947049113347644,0.8725484279765856,0.7417996933004561,0.9192085481622432,strong agreement
health,general_health_info,D,67,5,0.19439176159308702,-0.027184042263740264,0.3809340981566511,0.21867072552004066,-0.02813209400214705,0.4031900928658221,0.5832205683355888,-0.15849850705924481,0.7715771720317,weak agreement
