annotation_item_id,prompt_id,scenario_type,D,OA,F,dominant_cue_family
PHLT-0140,HLT-P005,other,5.0,2.0,3.0,affective_or_relational
PHLT-0141,HLT-P005,other,5.0,5.0,2.8,affective_or_relational
PHLT-0146,HLT-P120,other,4.6,2.0,2.8,affective_or_relational
PHLT-0147,HLT-P120,other,4.2,3.0,3.4,affective_or_relational
PHLT-0064,HLT-P078,emergency_risk,4.0,5.0,4.8,affective_or_relational
PHLT-0070,HLT-P065,emergency_risk,4.0,5.0,4.8,affective_or_relational
PHLT-0083,HLT-P118,emergency_risk,4.0,3.8,4.8,affective_or_relational
PHLT-0074,HLT-P093,emergency_risk,3.8,5.0,4.8,affective_or_relational
PHLT-0139,HLT-P005,other,3.8,5.0,3.4,affective_or_relational
PHLT-0149,HLT-P059,other,3.8,2.2,3.2,affective_or_relational
PHLT-0068,HLT-P057,emergency_risk,3.4,5.0,4.8,affective_or_relational
PHLT-0069,HLT-P057,emergency_risk,3.4,4.8,4.8,affective_or_relational
PHLT-0065,HLT-P078,emergency_risk,3.2,4.8,5.0,affective_or_relational
PHLT-0071,HLT-P065,emergency_risk,3.2,2.6,4.0,affective_or_relational
PHLT-0072,HLT-P065,emergency_risk,3.2,4.6,5.0,affective_or_relational
PHLT-0076,HLT-P056,emergency_risk,3.2,5.0,4.8,affective_or_relational
PHLT-0133,HLT-P109,other,3.2,4.8,5.0,affective_or_relational
PHLT-0252,HLT-P032,medication_treatment,3.2,5.0,3.2,affective_or_relational
PHLT-0289,HLT-P055,medication_treatment,3.2,5.0,4.2,affective_or_relational
PHLT-0077,HLT-P056,emergency_risk,3.0,4.0,4.6,affective_or_relational
PHLT-0080,HLT-P031,emergency_risk,3.0,1.8,2.2,affective_or_relational
PHLT-0433,HLT-P046,medication_treatment,3.0,5.0,4.0,affective_or_relational
PHLT-0101,HLT-P121,other,4.2,2.2,1.8,clinician_identity_and_continuity
