annotation_item_id,protocol_id,model,prompt_id,source_id,source_set,topic,failure_mode,response_file,source_row_index,content_sha256,phase1_template_order,phase2_template_order
PMH-0001,persona_mh_human_v2,gemini,questionID_26,eval_gemini,CounselBench-Eval,depression,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,8,11f530d3501f14b6c32610e6ef44b015e812baf30ea3cc9b925ba1b45f733959,1,203
PMH-0002,persona_mh_human_v2,glm,adv_083,adv_glm,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_glm_responses_clean_v1.csv,82,e8987940ed4753dfd90d6168e2a5dfd0c49f5fa467217a8e22589d0800edffe8,2,506
PMH-0003,persona_mh_human_v2,glm,adv_116,adv_glm,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_glm_responses_clean_v1.csv,115,8ba50828bf3e8ff3ba4378ec41916bdea76823dd59dbfa72d25928e8b814b4d9,3,141
PMH-0004,persona_mh_human_v2,claude_opus_4_8,adv_097,adv_claude_opus_4_8,CounselBench-Adv,adversarial,medication,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,96,44ba85437b4c78f8c2a20cd0f51369656b94d7985f92283c8c6473ac01a4562e,4,613
PMH-0005,persona_mh_human_v2,glm,adv_059,adv_glm,CounselBench-Adv,adversarial,symptoms,persona_mh_outputs/adv_glm_responses_clean_v1.csv,58,ec5f005e92c57f4682fdfbd8422940aec758224536d837d4adcb4f4092423314,5,154
PMH-0006,persona_mh_human_v2,claude_opus_4_8,adv_114,adv_claude_opus_4_8,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,113,19d9fa639fd2f80d745755151154733ce1abe1440423e4c9f957e52fefd87160,6,344
PMH-0007,persona_mh_human_v2,glm,adv_041,adv_glm,CounselBench-Adv,adversarial,symptoms,persona_mh_outputs/adv_glm_responses_clean_v1.csv,40,1ae065d57efcd20e570911790288e8b7b63b807229c9da01b09a994eda8862eb,7,644
PMH-0008,persona_mh_human_v2,gemini,questionID_310,eval_gemini,CounselBench-Eval,self-esteem,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,14,3215d9150d7a9ee6c150ea2f800975c600936f48b25ea71e48c6c19db1ad45b7,8,444
PMH-0009,persona_mh_human_v2,gemini,adv_035,adv_gemini,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,34,02c09cfb5762be6ba41947e998c657af19353823a7b4d66939b960965295d180,9,60
PMH-0010,persona_mh_human_v2,gemini,adv_055,adv_gemini,CounselBench-Adv,adversarial,symptoms,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,54,2e63db8a55d50000a1d6a88472c3bacde6fb1057af40f0153bb408cfe28fc63b,10,357
PMH-0011,persona_mh_human_v2,glm,questionID_872,eval_glm,CounselBench-Eval,behavioral-change,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,77,ea5999175bc52adb1f2dea9a4a332b35237d7133f6cb2106947302f7b6eaa884,11,1
PMH-0012,persona_mh_human_v2,gemini,adv_069,adv_gemini,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,68,5276238e603793e95308140287be5ba16d02df0eb6039091f17067024a0ee5fe,12,544
PMH-0013,persona_mh_human_v2,claude_opus_4_8,adv_108,adv_claude_opus_4_8,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,107,ef320450a4f75ee3804b1c1b1fe62943d3b00bcb5feb92589bfe0fa70a14aefb,13,282
PMH-0014,persona_mh_human_v2,claude_opus_4_8,questionID_464,eval_claude_opus_4_8,CounselBench-Eval,anger-management,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,1,3f62cab942f52cec33166e295f08312bec4bce16fab3e94a3f6f4a7bc6142663,14,439
PMH-0015,persona_mh_human_v2,gemini,adv_043,adv_gemini,CounselBench-Adv,adversarial,symptoms,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,42,f99f4858f28420120a6e17ed03709f65e8b08dd71ae3f68d755f0c5019201c18,15,52
PMH-0016,persona_mh_human_v2,claude_opus_4_8,questionID_26,eval_claude_opus_4_8,CounselBench-Eval,depression,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,21,25e6d19acc34d2493ab4744067b6f47a308baf38feac087c73e531fb0bc4b4b2,16,452
PMH-0017,persona_mh_human_v2,gemini,questionID_627,eval_gemini,CounselBench-Eval,family-conflict,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,53,b58c2d298d4fd0cfe784385882f232b9f2dbc5f1f02ab20385a346e5a6271568,17,651
PMH-0018,persona_mh_human_v2,claude_opus_4_8,questionID_358,eval_claude_opus_4_8,CounselBench-Eval,relationship-dissolution,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,67,12c3dd27fd480449048ff1cb5c4af99c0d204e16c42bca60497396914364921e,18,385
PMH-0019,persona_mh_human_v2,claude_opus_4_8,adv_028,adv_claude_opus_4_8,CounselBench-Adv,adversarial,assumptions,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,27,141b30a6b81142d3817a3c6db90976b36a135512c070a438ac5792a6b65e6d21,19,164
PMH-0020,persona_mh_human_v2,glm,questionID_26,eval_glm,CounselBench-Eval,depression,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,8,9be0d60f42cc9cb9f06e98bd1d7bb8907b3689d5abb22f98159513bcb856328b,20,373
PMH-0021,persona_mh_human_v2,gemini,adv_076,adv_gemini,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_gemini_responses_clean_v1.csv,75,42895c3e4d4b062c3ea78224366b204466701543ac706c7be59a0697d9166cce,21,93
PMH-0022,persona_mh_human_v2,claude_opus_4_8,questionID_627,eval_claude_opus_4_8,CounselBench-Eval,family-conflict,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,35,cc67dfb975bd00104572609d7e6ec17b5cec51c5f40bdf4166ddc6eb180eda09,22,598
PMH-0023,persona_mh_human_v2,gemini,questionID_713,eval_gemini,CounselBench-Eval,eating-disorders,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,66,86bd94e6e69f23ea483dedd6f08104d2dd73983b72409768f8cc09b6849456b3,23,324
PMH-0024,persona_mh_human_v2,gemini,questionID_859,eval_gemini,CounselBench-Eval,behavioral-change,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,75,cae0fd81acd51d2d92fec0a71ae0d81002c1d07a09183b70df081ede93f6ca19,24,25
PMH-0025,persona_mh_human_v2,claude_opus_4_8,adv_106,adv_claude_opus_4_8,CounselBench-Adv,adversarial,therapy,persona_mh_outputs/adv_claude_opus_4_8_responses_clean_v1.csv,105,791cc321d695425892fed243aee200ec12ca5de6176906f2bc4a0c8af1d23602,25,537
PMH-0026,persona_mh_human_v2,glm,adv_066,adv_glm,CounselBench-Adv,adversarial,judgmental,persona_mh_outputs/adv_glm_responses_clean_v1.csv,65,21421e96941521d20e411e2a03c98addf0c54aa33efe474122da1db57501bd3b,26,590
PMH-0027,persona_mh_human_v2,gemini,questionID_936,eval_gemini,CounselBench-Eval,counseling-fundamentals,,persona_mh_outputs/eval_gemini_responses_clean_v1.csv,97,64126c86086ab5aa837949c5e25a327fedff8a36348424b49e8677f91bd1a405,27,576
PMH-0028,persona_mh_human_v2,claude_opus_4_8,questionID_727,eval_claude_opus_4_8,CounselBench-Eval,relationships,,persona_mh_outputs/eval_claude_opus_4_8_responses_clean_v1.csv,72,a24e4f6c0405ab43284d6b41f6821db03a4585570a81fe750d393c7a1618ac27,28,151
PMH-0029,persona_mh_human_v2,glm,questionID_478,eval_glm,CounselBench-Eval,anger-management,,persona_mh_outputs/eval_glm_responses_clean_v3.csv,41,a143ef92b27cf888dd0ed563246d6c95eb9f1db905fd52607a558e73a8d6a3f4,29,549
